year,race_number,driver,avg_lap_time,best_lap_time,lap_time_std,total_laps,delta_to_best,s1_avg,s2_avg,s3_avg,s1_fastest,s2_fastest,s3_fastest,quali_clean_laps
2018,7,MAG,80.740166,72.606,12.778359,6,8.134166,21.795333,26.577666,32.367166,20.024,23.213,29.279,6
2018,7,HAR,76.378,72.635,6.469214,3,3.743,20.192,24.951,31.235,20.02,23.288,29.307,3
2018,7,LEC,79.6505,72.661,10.544303,6,6.9895,23.114,25.693333,30.843166,20.06,23.41,29.131,6
2018,7,ALO,72.9215,72.856,0.09263,2,0.0655,20.0625,23.427,29.432,20.015,23.353,29.376,2
2018,7,VAN,72.924,72.865,0.083438,2,0.059,20.1695,23.3465,29.408,20.152,23.346,29.367,2
2018,8,HAM,90.1255,90.029,0.136471,2,0.0965,22.2505,27.703,40.172,22.225,27.585,39.932,2
2018,8,BOT,91.278666,90.147,1.8148710000000001,3,1.131666,22.563666,27.639333,41.075666,22.408,27.569,40.028,3
2018,8,VET,90.665333,90.4,0.234542,3,0.265333,22.603333,27.866666,40.195333,22.542,27.77,40.059,3
2018,8,VER,90.769666,90.705,0.058243,3,0.064666,22.606,27.83,40.333666,22.504,27.714,40.296,3
2018,8,RIC,92.049,90.895,1.851828,3,1.154,22.639333,27.970666,41.439,22.534,27.789,40.283,3
2018,8,RAI,98.2205,90.772,8.670856,4,7.4485,23.23075,30.324,44.66575,22.552,27.736,40.264,4
2018,8,SAI,92.200333,92.016,0.230664,3,0.184333,22.893,28.264333,41.043,22.853,28.165,40.907,3
2018,8,LEC,92.469666,92.055,0.361559,3,0.414666,22.932333,28.320333,41.217,22.841,28.147,41.067,3
2018,8,MAG,92.22,91.51,1.004091,2,0.71,23.3155,28.218,40.6865,22.76,28.14,40.61,2
2018,8,GRO,91.472,91.472,0.0,1,0.0,22.682,28.092,40.698,22.682,28.092,40.698,1
2018,8,OCO,92.345,92.075,0.381837,2,0.27,23.0905,28.21,41.0445,22.961,28.16,40.954,2
2018,8,HUL,92.115,92.115,0.0,1,0.0,22.966,28.211,40.938,22.966,28.211,40.938,1
2018,8,PER,102.475333,92.454,17.331484,3,10.021333,26.222666,31.489666,44.763,23.041,28.317,40.995,3
2018,8,GAS,92.46,92.46,0.0,1,0.0,22.913,28.473,41.074,22.913,28.473,41.074,1
2018,8,ERI,92.9775,92.82,0.222738,2,0.1575,23.4285,28.346,41.203,23.292,28.281,41.117,2
2018,9,BOT,72.479142,63.13,15.136519,7,9.349142,17.651,31.417285,23.410857,16.018,28.013,19.099,7
2018,9,HAM,74.0972,63.149,13.276373,10,10.9482,18.0036,33.0708,23.0228,16.025,28.011,19.113,10
2018,9,VET,71.994142,63.464,14.059528,7,8.530142,18.078142,30.859714,23.056285,16.163,27.913,19.336,7
2018,9,RAI,70.419,63.66,10.425498,10,6.759,17.3254,31.5252,21.5684,16.066,28.022,19.554,10
2018,9,VER,66.874142,63.84,7.282854,7,3.034142,16.793142,30.042714,20.038285,16.2,28.182,19.406,7
2018,9,GRO,68.776428,63.892,11.772012,7,4.884428,16.999142,30.998571,20.778714,16.239,28.23,19.385,7
2018,9,RIC,69.7313,63.996,11.037839,10,5.7353,17.5256,30.8551,21.3506,16.316,28.137,19.475,10
2018,9,MAG,68.616,64.051,11.152214,8,4.5649999999999995,17.2105,30.240125,21.165375,16.247,28.24,19.564,8
2018,9,SAI,68.539857,64.561,9.573934,7,3.978857,17.411714,30.107,21.021142,16.341,28.38,19.828,7
2018,9,HUL,69.58675,64.676,9.986836,8,4.91075,16.811625,30.499,22.276125,16.319,28.364,19.85,8
